time_sec,used_mb,free_mb
0,12084,3715
10,12019,3783
21,12041,3761
31,12022,3782
41,11999,3803
51,12005,3800
61,12015,3789
71,12073,3730
81,12141,3691
91,12090,3713
101,12097,3705
111,12079,3724
